web-scraper-order,web-scraper-start-url,Product_Name,Product_Price,Product_Sold
"1713627386-136","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Samsung N910 A3 A5 A7 Connector Usb Ces Only Charger","Rp5.400","622 Terjual"
"1713627386-137","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Tombol On Off Volume Xiaomi Redmi Note 7 8 Original Switch Power","Rp8.400","609 Terjual"
"1713627386-138","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board Samsung A52 A526B Flex Mainboard Sub Main Fleksibel","Rp35.300","623 Terjual"
"1713627386-139","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Volume A71 2017 Oppo Original Tombol Switch Fleksibel","Rp11.200","270 Terjual"
"1713627386-140","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Socket Konektor FPC Flex X3 Pro Original Soket Connector Di Mesin","Rp22.100","56 Terjual"
"1713627386-141","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC CPU SM7150 100-AC Original New Tested Sm7150 100 AC SM 7150","Rp316.600","33 Terjual"
"1713627386-142","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Advan G5 G9 PRO Connector Charger Port Usb Only","Rp8.600","1,5RB Terjual"
"1713627386-143","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kabel Antena Redmi Note 7 Original Tested Sinyal Xiaomi","Rp34.500","299 Terjual"
"1713627386-144","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja M11 A02S A03S A11 Samsung Original Connector Charger Ces Port Usb Only","Rp3.600","7,4RB Terjual"
"1713627386-145","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board Samsung A52 5G A526U Flex Penghubung Fleksibel Main Sub","Rp36.500","254 Terjual"
"1713627386-146","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible On Off Vivo Y53 Fleksibel Tombol Flex Switch Volume","Rp11.600","36 Terjual"
"1713627386-147","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Power On Off Oppo A5S Flex Switch Original","Rp7.700","614 Terjual"
